cancelation_policy_id,cancelation_policy
1,strict
2,moderate
3,flexible
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1,strict
3,flexible
1,strict
3,flexible
1,strict
2,moderate
1,strict
2,moderate
3,flexible
1,strict
3,flexible
1,strict
3,flexible
1,strict
1,strict
1,strict
1,strict
3,flexible
3,flexible
1,strict
1,strict
1,strict
1,strict
1,strict
3,flexible
3,flexible
2,moderate
2,moderate
1,strict
3,flexible
3,flexible
2,moderate
3,flexible
2,moderate
3,flexible
,
,
,
,
,
,
,
1,strict
2,moderate
3,flexible
3,flexible
2,moderate
1,strict
3,flexible
2,moderate
1,strict
1,strict
1,strict
1,strict
1,strict
2,moderate
1,strict
3,flexible
3,flexible
2,moderate
1,strict
2,moderate
3,flexible
1,strict
2,moderate
1,strict
1,strict
3,flexible
3,flexible
3,flexible
1,strict
2,moderate
3,flexible
2,moderate
3,flexible
3,flexible
2,moderate
3,flexible
3,flexible
3,flexible
2,moderate
1,strict
2,moderate
1,strict
2,moderate
2,moderate
3,flexible
1,strict
3,flexible
1,strict
1,strict
2,moderate
2,moderate
2,moderate
3,flexible
3,flexible
3,flexible
2,moderate
3,flexible
3,flexible
2,moderate
1,strict
1,strict
2,moderate
3,flexible
2,moderate
1,strict
1,strict
2,moderate
1,strict
2,moderate
1,strict
1,strict
3,flexible
2,moderate
2,moderate
2,moderate
1,strict
3,flexible
3,flexible
3,flexible
2,moderate
1,strict
2,moderate
1,strict
3,flexible
3,flexible
1,strict
3,flexible
2,moderate
2,moderate
3,flexible
3,flexible
1,strict
3,flexible
1,strict
2,moderate
2,moderate
1,strict
2,moderate
1,strict
1,strict
1,strict
3,flexible
1,strict
2,moderate
1,strict
2,moderate
3,flexible
1,strict
3,flexible
2,moderate
2,moderate
2,moderate
3,flexible
1,strict
3,flexible
3,flexible
1,strict
3,flexible
2,moderate
3,flexible
2,moderate
3,flexible
1,strict
3,flexible
1,strict
1,strict
2,moderate
3,flexible
2,moderate
3,flexible
2,moderate
3,flexible
3,flexible
1,strict
1,strict
1,strict
3,flexible
3,flexible
3,flexible
1,strict
3,flexible
2,moderate
2,moderate
2,moderate
3,flexible
,
,
2,moderate
2,moderate
2,moderate
3,flexible
2,moderate
2,moderate
1,strict
3,flexible
2,moderate
3,flexible
1,strict
2,moderate
2,moderate
3,flexible
2,moderate
3,flexible
2,moderate
1,strict
3,flexible
1,strict
1,strict
1,strict
3,flexible
1,strict
3,flexible
3,flexible
1,strict
2,moderate
3,flexible
1,strict
3,flexible
2,moderate
3,flexible
1,strict
2,moderate
1,strict
2,moderate
2,moderate
2,moderate
2,moderate
3,flexible
1,strict
1,strict
1,strict
1,strict
3,flexible
2,moderate
2,moderate
,
,
,
,
,
,
,
,
,
,
,
,
3,flexible
1,strict
1,strict
2,moderate
3,flexible
2,moderate
1,strict
3,flexible
3,flexible
1,strict
1,strict
1,strict
3,flexible
2,moderate
3,flexible
2,moderate
1,strict
2,moderate
3,flexible
2,moderate
1,strict
2,moderate
1,strict
3,flexible
2,moderate
3,flexible
3,flexible
2,moderate
2,moderate
1,strict
3,flexible
2,moderate
3,flexible
1,strict
3,flexible
2,moderate
3,flexible
2,moderate
1,strict
1,strict
1,strict
2,moderate
3,flexible
3,flexible
1,strict
2,moderate
3,flexible
1,strict
2,moderate
2,moderate
1,strict
3,flexible
1,strict
1,strict
1,strict
1,strict
2,moderate
1,strict
2,moderate
2,moderate
1,strict
3,flexible
3,flexible
3,flexible
2,moderate
1,strict
2,moderate
2,moderate
2,moderate
1,strict
3,flexible
3,flexible
2,moderate
1,strict
3,flexible
1,strict
2,moderate
2,moderate
3,flexible
1,strict
3,flexible
1,strict
3,flexible
1,strict
2,moderate
2,moderate
2,moderate
3,flexible
1,strict
1,strict
3,flexible
2,moderate
1,strict
2,moderate
1,strict
3,flexible
1,strict
2,moderate
1,strict
3,flexible
3,flexible
2,moderate
1,strict
,
,
,
,
,
2,moderate
2,moderate
3,flexible
3,flexible
2,moderate
1,strict
1,strict
3,flexible
2,moderate
1,strict
1,strict
3,flexible
1,strict
3,flexible
2,moderate
2,moderate
2,moderate
1,strict
3,flexible
1,strict
3,flexible
1,strict
3,flexible
2,moderate
3,flexible
3,flexible
1,strict
1,strict
3,flexible
3,flexible
1,strict
1,strict
3,flexible
3,flexible
2,moderate
1,strict
1,strict
2,moderate
2,moderate
2,moderate
2,moderate
3,flexible
1,strict
1,strict
1,strict
1,strict
3,flexible
2,moderate
2,moderate
3,flexible
1,strict
3,flexible
1,strict
1,strict
1,strict
2,moderate
3,flexible
2,moderate
3,flexible
2,moderate
1,strict
1,strict
1,strict
1,strict
2,moderate
1,strict
2,moderate
1,strict
1,strict
3,flexible
1,strict
3,flexible
3,flexible
2,moderate
,
,
,
,
,
,
,
,
,
,
3,flexible
3,flexible
1,strict
2,moderate
1,strict
1,strict
3,flexible
1,strict
2,moderate
3,flexible
3,flexible
1,strict
2,moderate
2,moderate
1,strict
3,flexible
2,moderate
1,strict
3,flexible
2,moderate
2,moderate
2,moderate
3,flexible
2,moderate
2,moderate
3,flexible
2,moderate
3,flexible
3,flexible
2,moderate
2,moderate
3,flexible
3,flexible
2,moderate
2,moderate
3,flexible
2,moderate
2,moderate
2,moderate
