id,number_of_reviews,last_review,reviews_per_month,review_rate_number
1001254,9,10/19/2021,0.21,4
1002102,45,5/21/2022,0.38,4
1002403,0,,,5
1002755,270,7/05/2019,4.64,4
1003689,9,11/19/2018,0.1,3
1004098,74,6/22/2019,0.59,3
1004650,49,10/05/2017,0.4,5
1005202,49,10/05/2017,0.4,5
1005754,430,6/24/2019,3.47,3
1006307,118,7/21/2017,0.99,5
1006859,160,6/09/2019,1.33,3
1007411,53,6/22/2019,0.43,4
1007964,188,6/23/2019,1.5,4
1008516,167,6/24/2019,1.34,4
1009068,113,7/05/2019,0.91,3
1009621,27,10/31/2018,0.22,3
1010173,148,6/29/2019,1.2,3
1010725,198,6/28/2019,1.72,5
1011277,260,7/01/2019,2.12,3
1011830,53,6/22/2019,4.44,5
1012382,0,,,3
1012934,9,12/28/2021,0.07,3
1013487,130,7/01/2019,1.09,4
1014039,39,1/01/2019,0.37,3
1014591,71,7/02/2019,0.61,4
1015144,88,6/19/2019,0.73,4
1015696,19,6/23/2019,1.37,5
1016248,0,,,
1016800,58,8/13/2017,0.49,
1017353,108,6/15/2019,1.11,
1017905,29,4/19/2019,0.24,
1018457,242,6/01/2019,2.04,
1019010,88,6/14/2019,1.42,
1019562,197,6/15/2019,1.65,
1020114,273,7/01/2019,2.37,
1020667,74,5/12/2019,0.66,
1021219,168,6/21/2019,1.41,
1021771,0,,,
1022323,231,6/22/2019,1.96,3
1022876,0,,,3
1023428,214,7/05/2019,1.81,5
1023980,245,6/21/2019,2.08,3
1024533,15,5/27/2019,0.39,2
1025085,25,9/30/2018,0.23,1
1025637,81,6/16/2019,0.69,3
1026190,97,6/13/2019,0.84,
1026742,11,6/05/2019,0.49,
1027294,248,7/01/2019,2.25,
1027846,61,5/25/2019,0.52,
1028399,11,1/01/2017,0.1,1
1028951,135,6/17/2019,1.16,1
1029503,112,6/16/2019,1.01,2
1030056,73,7/07/2019,0.63,3
1030608,82,5/17/2019,0.7,2
1031160,328,6/29/2019,2.82,5
1031713,19,3/25/2019,0.22,5
1032265,105,6/22/2019,0.9,5
1032817,19,5/18/2019,0.17,4
1033369,289,6/09/2019,2.49,3
1033922,138,6/04/2019,1.19,1
1034474,21,6/29/2019,0.3,5
1035026,42,6/30/2019,0.38,3
1035579,5,11/03/2018,0.12,2
1036131,66,3/30/2019,0.57,5
1036683,143,1/26/2019,1.33,1
1037236,27,9/30/2017,0.23,2
1037788,191,,1.65,1
1038340,4,9/24/2017,0.16,3
1038892,338,7/01/2019,4.72,3
1039445,148,6/23/2019,1.4,1
1039997,106,6/21/2019,1.26,3
1040549,190,6/23/2019,1.64,4
1041102,49,5/14/2018,0.43,3
1041654,23,6/01/2019,0.43,3
1042206,49,6/18/2019,1.6,2
1042759,105,6/26/2019,0.92,1
1043311,21,1/02/2019,0.2,4
1043863,142,7/06/2019,1.5,4
1044415,25,,0.22,2
1044968,143,6/16/2019,1.28,2
1045520,167,5/28/2019,1.65,4
1046072,61,4/22/2019,0.54,3
1046625,54,3/23/2019,0.49,3
1047177,70,,0.62,4
1047729,16,6/15/2019,0.15,4
1048282,94,4/08/2019,0.84,3
1048834,25,8/04/2016,0.24,3
1049386,61,8/09/2018,0.53,4
1049938,194,6/30/2019,1.73,2
1050491,2,2/14/2016,0.05,5
1051043,174,6/22/2019,1.54,5
1051595,24,,0.28,5
1052148,166,6/27/2019,3.4,2
1052700,16,5/31/2019,0.2,
1053252,21,5/21/2019,0.3,
1053805,168,7/22/2018,1.57,
1054357,118,6/18/2019,1.05,
1054909,,7/07/2019,0.71,
1055461,1,10/09/2018,0.11,
1056014,30,5/01/2019,0.27,
1056566,139,10/28/2018,1.23,
1057118,11,,0.87,
1057671,233,6/24/2019,2.09,
1058223,68,1/02/2022,0.6,
1058775,46,5/18/2019,0.55,2
1059328,335,5/29/2019,3.02,1
1059880,88,11/02/2018,0.79,2
1060432,162,6/28/2019,1.46,3
1060984,29,5/26/2018,0.4,1
1061537,170,6/23/2019,1.61,1
1062089,19,3/17/2017,0.2,2
1062641,334,6/16/2019,3,1
1063194,19,6/02/2019,0.2,4
1063746,12,,0.13,5
1064298,467,12/30/2018,4.22,3
1064851,7,8/09/2017,0.06,5
1065403,38,12/02/2015,0.38,3
1065955,324,6/23/2019,3.01,
1066507,27,4/27/2019,0.27,
1067060,115,6/07/2019,1.05,
1067612,354,5/20/2019,3.2,
1068164,195,7/01/2019,2.03,
1068717,16,12/30/2018,0.24,
1069269,13,6/26/2019,0.12,
1069821,25,12/10/2021,0.23,1
1070374,9,10/05/2018,0.08,4
1070926,9,9/18/2021,0.08,4
1071478,21,8/15/2024,0.19,4
1072030,36,8/17/2017,0.33,5
1072583,63,5/14/2019,0.58,1
1073135,155,6/20/2019,1.42,3
1073687,260,7/03/2019,2.35,4
1074240,73,6/25/2019,0.66,4
1074792,193,5/20/2019,1.86,2
1075344,32,6/14/2019,0.29,5
1075897,50,5/26/2019,0.45,2
1076449,26,7/01/2019,0.25,5
1077001,2,1/01/2019,0.02,4
1077553,426,6/24/2019,3.89,3
1078106,227,6/23/2019,2.09,5
1078658,84,,0.77,2
1079210,,,0.03,4
1079763,10,,0.1,5
1080315,4,,0.04,3
1080867,1,,0.01,4
1081420,124,,1.72,2
1081972,11,7/02/2019,0.11,3
1082524,240,6/17/2019,2.19,3
1083076,30,6/17/2019,0.28,5
1083629,200,6/22/2019,1.86,5
1084181,27,6/29/2019,1.05,4
1084733,79,6/22/2019,0.74,3
1085286,9,5/10/2013,0.09,2
1085838,155,6/13/2019,1.61,2
1086390,4,8/27/2018,0.05,3
1086943,34,,0.32,5
1087495,134,,1.24,3
1088047,27,,0.25,3
1088599,126,,1.16,1
1089152,23,,0.27,2
1089704,234,6/08/2019,2.6,5
1090256,202,5/28/2019,1.86,5
1090809,28,4/12/2019,0.26,1
1091361,309,6/22/2019,,4
1091913,14,4/25/2021,,2
1092466,4,9/23/2016,,1
1093018,80,7/06/2019,,2
1093570,2,11/02/2015,,4
1094122,294,6/24/2019,,3
1094675,150,6/18/2019,1.4,5
1095227,166,6/13/2019,1.66,4
1095779,47,6/19/2019,0.94,5
1096332,219,7/04/2019,2.04,1
1096884,193,7/06/2016,1.78,4
1097436,84,6/23/2019,0.78,4
1097989,114,6/20/2019,1.06,4
1098541,213,6/24/2019,2,5
1099093,86,6/01/2019,0.8,1
1099645,80,5/26/2019,0.75,2
1100198,38,4/20/2016,0.36,1
1100750,18,12/17/2018,1.79,3
1101302,206,6/30/2019,1.92,4
1101855,10,5/12/2019,0.11,4
1102407,122,5/14/2019,1.18,4
1102959,33,4/08/2019,0.58,4
1103512,52,6/05/2019,0.5,4
1104064,126,5/19/2019,1.17,
1104616,51,6/24/2019,0.48,
1105168,199,6/24/2019,1.85,
1105721,30,3/02/2022,0.29,
1106273,3,7/17/2015,0.03,
1106825,41,6/26/2025,0.38,2
1107378,109,6/15/2019,1.04,2
1107930,151,6/22/2019,1.43,4
1108482,0,,,1
1109035,285,6/22/2019,2.69,1
1109587,375,6/18/2019,3.52,3
1110139,52,5/20/2019,0.49,2
1110691,10,7/01/2019,1.01,3
1111244,11,11/13/2017,0.48,3
1111796,33,5/09/2015,0.31,4
1112348,6,10/08/2015,0.06,3
1112901,38,4/27/2019,0.38,4
1113453,358,6/20/2019,3.44,3
1114005,10,1/07/2014,0.09,1
1114558,0,,,1
1115110,226,6/06/2019,2.12,4
1115662,104,6/22/2019,1,1
1116214,138,6/30/2019,1.45,1
1116767,204,6/23/2019,1.92,1
1117319,253,7/02/2019,3.04,3
1117871,23,7/01/2019,0.22,5
1118424,115,12/05/2018,1.17,2
1118976,129,5/19/2019,,2
1119528,82,6/10/2019,,4
1120081,37,12/31/2018,0.35,1
1120633,204,7/01/2019,2.04,5
1121185,69,6/13/2019,0.65,2
1121737,192,,1.84,5
